cond,EQ_1,EQ_2,EQ_3,EQ_4,EQ_5,EQ_6,EQ_7,EQ_8,EQ_9,EQ_10,EQ_11,EQ_12,EQ_13,EQ_14,EQ_15,EQ_16,EQ_17,EQ_18,EQ_19,EQ_20,EQ_21,EQ_22,EQ_23,EQ_24,EQ_25,EQ_26,EQ_27,EQ_28,EQ_29,EQ_30,EQ_31,EQ_32,EQ_33,EQ_34,EQ_35,EQ_36,EQ_37,EQ_38,EQ_39,EQ_40,EQ_41,EQ_42,EQ_43,EQ_44,EQ_45,EQ_46,EQ_47,EQ_48,EQ_49,EQ_50,EQ_51,EQ_52,EQ_53,EQ_54,EQ_55,EQ_56,EQ_57,EQ_58,EQ_59,EQ_60,IDAQ_1,IDAQ_2,IDAQ_3,IDAQ_4,IDAQ_5,IDAQ_6,IDAQ_7,IDAQ_8,IDAQ_9,IDAQ_10,IDAQ_11,IDAQ_12,IDAQ_13,IDAQ_14,IDAQ_15,IDAQ_16,IDAQ_17,IDAQ_18,IDAQ_19,IDAQ_20,IDAQ_21,IDAQ_22,IDAQ_23,IDAQ_24,IDAQ_25,IDAQ_26,IDAQ_27,IDAQ_28,IDAQ_29,IDAQ_30,DS_1,DS_2,DS_3,DS_4,DS_5,DS_6,DS_7,DS_8,DS_9,DS_10,DS_11,DS_12,DS_13,DS_14,DS_15,DS_16,DS_17,DS_18,DS_19,DS_20,DS_21,DS_22,DS_23,DS_24,DS_25,DS_26,DS_27,Teleo_1,Teleo_2,Teleo_3,Teleo_4,Teleo_5,Teleo_6,Teleo_7,Teleo_8,Teleo_9,Teleo_10,Teleo_11,Teleo_12,Teleo_13,Teleo_14,Teleo_15,Teleo_16,Teleo_17,Teleo_18,Teleo_19,Teleo_20,Teleo_21,Teleo_22,Teleo_23,Teleo_24,Teleo_25,PB_1,PB_2,PB_3,PB_4,PB_5,PB_6,PB_7,PB_8,PB_9,PB_10,PB_11,PB_12,PB_13,PB_14,PB_15,PB_16,PB_17,PB_18,PB_19,PB_20,PB_21,PB_22,PB_23,PB_24,PB_25,PB_26,ESI_1,ESI_2,ESI_3,ESI_4,ESI_5,ESI_6,ESI_7,ESI_8,ESI_9,ESI_10,ESI_11,ESI_12,ESI_13,ESI_14,ESI_15,ESI_16,ESI_17,ESI_18,ESI_19,ESI_20,RB_1,RB_2,RB_3,RB_4,RB_5,RB_6,RB_7,RB_8,RB_9,RB_10,RB_11,RB_12,RB_13,RB_14,RB_15,RB_16,RB_17,RB_18,RB_19,RB_20,RB_21,RB_22,RB_23,RB_24,RB_25,RB_26,RB_27,RB_28,RB_29,RB_30,RB_31,RB_32,RB_33,RB_34,RB_35,RB_36,RB_37,RB_38,MC3,Sex,Age,Race,Race_TEXT,SES,BiG,SoTP,RelAff,RelAff_TEXT,RelBel,Rel,Spir,Pray,RelAtt,RelInt,PV_1,PV_2,PV_3,PV_4,PO,Purpose1,Purpose2,Task1,Task2,Task3,Task4,SR1,SR2,Enjoy,DB,LocationLatitude,LocationLongitude,LocationAccuracy
0,2,2,2,2,1,1,1,2,3,2,2,2,1,2,2,2,1,1,1,2,3,2,2,3,2,2,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,3,2,2,2,1,2,2,2,10,10,8,9,9,8,8,9,9,7,9,8,8,9,9,9,8,8,8,10,10,10,10,9,10,6,9,7,7,7,3,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,3,2,3,2,2,4,4,4,4,4,1,6,5,5,5,5,5,4,4,5,5,5,6,5,6,5,5,6,6,5,5,6,5,5,5,5,5,5,5,5,5,5,6,5,4,4,5,4,4,7,5,5,3,4,4,4,7,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,2,4,3,4,3,3,3,3,4,4,4,3,3,3,3,4,3,3,4,4,3,3,4,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,1,1,25,2,,3,1,1,4,,9,8,8,5,5,9,4,4,4,4,4,To understand religious preference,To learn about religious aspects,2,,2,,2,,3,1,13.08329773,80.28329468,-1
0,1,3,2,3,3,1,3,4,2,4,4,4,3,3,4,2,1,4,2,1,4,1,1,1,1,1,2,2,4,4,2,4,2,2,1,1,1,1,1,2,1,1,1,1,4,4,2,4,4,4,3,2,4,1,2,2,3,2,1,1,1,1,1,1,9,10,1,1,1,6,1,1,1,1,1,11,1,1,8,1,2,1,1,9,11,1,1,1,1,1,4,1,3,1,1,3,3,3,4,4,4,4,4,4,4,4,4,4,3,2,2,2,1,4,4,1,2,2,2,6,2,2,1,2,2,2,2,2,2,2,2,2,2,4,6,2,2,2,1,6,1,1,7,1,7,1,1,1,1,7,1,1,1,7,1,1,7,1,1,1,1,1,1,7,2,5,1,1,5,5,2,5,2,1,1,1,1,5,5,1,5,5,1,5,5,1,3,5,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,34,2,,3,1,1,6,,9,9,9,6,3,9,4,4,4,6,4,about spirituality and religion,religion and spirituality,1,religion related to spirituality,1,soul and physical body,2,,2,1,11.28329468,76.25,-1
0,2,1,1,2,2,2,1,2,1,2,2,3,2,1,2,1,1,2,1,2,2,1,1,1,2,2,3,1,2,1,2,2,1,2,2,1,2,1,1,1,1,2,2,1,2,1,1,2,1,1,2,1,1,1,2,1,2,1,2,2,7,6,4,6,7,7,5,6,6,6,7,4,6,6,5,6,5,6,6,5,6,6,5,5,6,5,6,6,5,5,4,2,3,4,3,4,3,4,3,2,3,4,4,3,3,4,3,4,3,2,3,3,4,3,2,3,4,4,6,6,5,5,6,6,5,6,5,4,5,7,5,5,6,5,7,6,5,5,5,6,5,5,3,5,6,5,6,5,5,7,5,4,5,4,5,5,5,5,6,4,5,5,6,5,5,6,6,6,4,5,5,4,3,4,5,4,5,4,3,4,4,3,4,5,4,3,4,4,4,3,3,4,4,3,3,4,4,5,4,3,4,4,4,4,4,3,3,4,4,5,5,4,4,5,4,3,4,4,5,5,4,5,5,4,5,4,1,2,35,2,,2,1,1,4,,7,7,6,4,5,7,4,5,5,6,4,Reading study,no,2,,2,,2,,1,1,13.08329773,80.28329468,-1
0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,1,1,1,4,1,1,1,1,1,2,1,1,1,4,1,2,1,1,1,1,2,1,1,3,1,1,2,1,4,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,8,6,1,1,1,3,1,1,1,1,1,11,1,10,10,11,1,11,3,11,9,1,11,5,10,8,1,5,2,5,2,3,2,5,5,5,2,4,5,2,5,2,5,5,5,5,2,5,5,2,2,3,5,1,7,7,7,3,1,7,7,7,5,7,7,7,3,7,3,7,7,7,3,4,3,7,7,1,7,5,6,3,1,1,5,5,5,5,1,2,1,1,7,6,5,1,3,6,5,5,3,5,2,6,5,5,2,5,5,2,5,5,2,2,2,1,2,5,2,5,4,1,5,5,5,1,1,5,5,5,2,5,4,5,5,1,5,3,1,1,4,5,1,4,1,4,2,5,5,5,5,5,5,5,2,5,5,5,4,5,5,2,1,1,28,2,,2,1,1,4,,9,9,9,5,5,9,7,1,1,7,7,"study on spirituality, god and religious.",human belief on god,2,,2,,2,,1,1,22.71670532,75.83329773,-1
0,2,2,2,1,1,2,2,1,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,9,7,7,7,7,8,7,8,8,7,7,7,6,6,8,9,9,9,8,9,8,9,8,8,9,9,9,9,8,8,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,3,4,3,2,4,4,2,4,3,3,3,6,6,5,5,6,6,6,6,6,6,6,5,6,6,5,6,5,4,6,5,3,3,2,6,6,3,3,3,5,3,3,3,3,3,3,2,2,4,5,5,2,3,5,3,3,5,5,6,5,3,4,2,4,4,2,3,4,4,4,3,3,4,4,3,3,4,2,3,5,4,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,2,4,4,2,2,2,1,2,35,2,,3,3,5,4,,6,5,5,5,4,5,5,4,3,2,2,To know the religious concept of life,About the spirituality,2,,2,,2,,1,1,10.99249268,76.96139526,-1
0,2,2,2,3,3,1,3,3,2,4,3,4,1,4,2,2,3,4,2,1,2,3,1,1,1,2,3,1,2,3,3,4,2,3,3,2,2,1,4,2,2,1,1,3,3,2,3,3,3,2,2,3,3,2,2,1,3,2,1,1,5,7,6,2,6,8,4,6,1,2,1,5,1,2,1,10,3,6,8,7,4,6,4,4,2,2,4,3,3,2,2,3,3,4,2,3,3,2,3,3,3,3,3,4,3,3,3,2,2,4,2,3,3,3,3,3,3,4,3,5,6,6,2,6,6,5,2,5,6,6,6,6,6,6,6,6,6,6,4,4,4,4,5,4,4,3,4,4,5,4,4,4,3,4,4,4,7,5,5,3,3,5,5,5,5,4,4,5,3,3,3,3,3,3,3,3,3,2,3,2,3,3,2,2,2,2,2,2,3,3,3,3,3,4,3,3,2,4,2,2,2,2,2,3,3,3,3,3,3,3,3,2,4,4,3,3,3,4,3,3,2,2,2,3,2,2,1,1,41,2,,3,1,2,4,,7,7,6,5,3,8,3,3,3,3,4,To know the view of Hindus..,May be..,2,,2,,2,,3,1,13.08329773,80.28329468,-1
0,2,3,3,2,3,1,1,3,1,3,3,3,1,3,2,2,2,4,3,2,2,4,1,3,2,2,3,2,3,3,4,4,4,3,3,2,2,1,2,2,2,2,1,3,3,3,2,2,3,3,1,3,3,2,2,1,2,2,3,2,3,3,4,1,3,6,2,2,1,2,1,1,2,2,2,10,1,4,8,4,5,2,2,2,2,3,8,8,2,8,4,3,3,4,3,4,4,2,4,3,2,2,4,3,4,4,2,3,3,3,2,2,3,3,4,4,3,5,6,6,6,5,3,5,5,4,3,5,5,5,5,6,5,5,5,5,4,5,4,5,4,2,6,5,4,5,5,4,6,7,5,4,5,5,5,5,7,5,5,2,4,4,6,7,2,4,3,4,4,4,4,4,3,2,4,3,4,4,4,4,4,4,3,3,4,2,4,5,4,3,4,4,4,5,4,3,2,3,2,2,5,4,2,2,4,3,4,4,1,4,3,3,4,4,4,4,4,4,2,4,3,4,4,4,5,2,1,2,33,2,,2,1,1,6,,9,9,9,6,6,9,4,4,4,4,4,It was about reading,It was about decisions,2,,2,,2,,1,1,10.51669312,76.21670532,-1
0,1,4,1,2,1,2,2,1,2,1,2,1,2,1,1,2,2,1,2,2,1,2,1,2,1,2,1,1,2,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,6,10,9,9,7,10,9,8,10,10,10,9,8,11,10,11,11,11,11,11,11,10,11,11,11,11,10,11,10,11,5,4,5,4,5,5,4,5,4,5,5,4,5,5,4,5,5,4,5,4,5,4,5,4,5,5,5,7,6,7,7,6,7,7,7,6,7,6,7,7,6,7,7,6,7,7,6,7,7,6,7,7,7,6,7,7,6,7,7,7,6,7,6,7,6,7,7,6,7,6,7,6,7,6,7,6,7,6,5,4,5,5,4,5,5,5,4,5,4,5,4,5,5,4,5,4,5,4,4,5,5,4,5,5,4,5,5,4,5,4,5,4,5,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,5,5,4,1,2,37,2,,3,1,4,4,,5,5,7,5,4,6,3,4,6,5,4,To know about the different process in our daily life.,Daily activities of human beings according to the concern person.,2,,2,,2,,1,1,9.966705322,76.23330688,-1
0,2,3,3,2,2,2,2,2,2,3,2,3,2,2,3,3,3,4,2,2,3,2,2,3,2,2,4,3,3,3,3,3,3,3,3,2,2,1,3,2,2,2,2,2,3,3,1,3,3,3,1,2,2,2,2,2,2,2,2,2,5,6,1,6,6,6,1,3,1,6,4,7,1,7,2,11,1,11,8,8,8,8,8,8,10,6,6,6,9,9,4,3,4,3,3,4,4,4,4,4,3,4,4,2,4,3,4,4,4,3,3,4,3,3,3,3,3,4,5,6,6,4,4,7,6,4,4,7,6,4,3,5,4,5,5,4,5,5,5,6,6,3,4,4,2,2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,3,2,4,3,2,3,3,3,3,3,3,3,3,3,3,3,2,5,5,3,4,3,3,3,3,3,3,3,3,3,2,3,3,3,2,4,4,3,4,3,3,3,4,2,4,3,3,3,3,3,3,3,3,3,3,3,3,1,2,30,2,,3,3,4,4,,3,4,4,5,2,3,4,4,4,4,4,Spirituality,About people's attitude towards god,1,Get information about me,2,,2,,3,1,12.98330688,77.58331299,-1
0,2,4,2,3,3,2,2,3,2,3,3,3,2,3,3,2,2,3,2,3,2,2,2,3,2,2,3,2,3,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,2,3,4,2,2,2,3,2,3,2,9,10,8,7,5,6,6,6,7,7,6,6,6,6,6,8,6,6,8,7,6,7,6,7,7,6,7,7,6,6,4,4,3,3,4,4,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,4,4,3,3,4,5,5,4,5,5,2,6,6,6,5,5,5,5,5,5,6,6,5,5,3,5,5,6,5,5,5,5,5,6,6,5,5,3,5,2,3,2,4,4,5,4,5,5,5,4,4,4,5,5,5,5,4,3,3,3,4,2,4,3,3,4,3,2,4,4,2,4,4,2,4,4,4,3,3,3,4,4,3,3,4,4,3,3,3,4,3,3,4,4,3,3,3,4,4,4,3,3,3,3,4,3,3,3,3,4,4,4,3,3,1,2,32,5,,1,1,2,2,,7,7,7,4,5,7,6,5,5,5,4,study on spirituality and reading about it,reading of sprituality,1,reading about religion and sprituality,2,,2,,1,1,22.56970215,88.36968994,-1
0,1,3,3,1,3,1,1,2,2,3,2,2,2,1,4,1,1,1,3,2,3,4,1,2,2,2,4,2,1,3,4,3,3,4,4,1,1,1,2,1,1,1,1,1,1,3,4,1,1,2,3,1,3,1,1,1,2,1,1,1,11,10,9,1,6,6,1,4,1,10,1,1,1,1,1,11,2,11,11,5,2,2,2,9,7,1,6,11,6,10,1,1,1,5,1,1,5,5,5,4,4,4,4,5,4,5,2,4,4,4,5,4,5,5,5,1,5,5,6,5,4,5,4,5,6,6,5,5,5,5,5,5,5,5,4,5,5,5,7,7,7,7,5,4,5,4,5,4,4,5,4,4,6,6,6,6,7,5,6,7,4,5,5,5,5,5,5,6,4,4,4,4,1,1,4,1,4,3,3,5,3,4,3,4,4,1,3,5,4,3,4,3,4,3,4,3,4,4,3,3,3,3,4,3,3,4,3,4,3,2,5,5,3,4,3,3,3,3,4,4,4,4,4,5,5,5,1,1,25,2,,3,1,5,4,,8,8,8,5,4,8,6,5,4,4,2,none,None. Lot of questions,2,,2,,2,,2,1,13.08329773,80.28329468,-1
0,1,4,2,1,4,2,1,3,1,3,3,2,3,2,1,2,4,4,1,2,1,4,1,2,3,4,3,1,2,3,4,3,2,1,4,3,2,1,2,3,1,2,3,4,3,2,1,1,2,3,4,3,2,1,1,2,3,4,3,1,11,11,1,11,6,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,61,2,,3,1,4,4,,7,7,8,6,6,8,4,4,4,4,7,To test the patience,Testing the patience,2,,2,,2,,2,1,13.08329773,80.28329468,-1
0,2,3,2,3,3,1,1,1,2,1,3,4,1,3,3,1,2,4,2,1,2,2,1,2,2,2,3,2,3,3,3,4,1,3,3,2,2,1,3,1,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,3,5,7,1,1,1,1,1,4,1,1,1,11,1,7,7,6,6,6,1,7,7,6,1,1,6,6,4,4,3,3,3,4,4,3,4,4,4,3,4,3,3,4,3,4,4,4,4,3,4,3,4,3,3,4,7,7,7,4,2,7,6,6,4,6,6,4,5,7,6,7,7,6,2,6,4,4,6,1,4,4,4,4,4,4,5,3,4,4,4,4,4,5,6,4,4,4,4,5,5,4,3,4,3,5,4,4,2,4,3,4,4,3,2,4,3,2,4,3,4,4,3,2,3,5,4,4,4,3,4,4,4,3,5,3,3,2,3,3,2,3,4,4,2,4,3,3,3,4,2,4,3,3,3,3,4,3,3,4,3,3,4,2,1,1,33,2,,3,1,3,4,,6,6,6,5,4,6,4,5,5,4,4,to understand impact of religion,"if religion, god is important",2,,2,,2,,1,1,13.08329773,80.28329468,-1
0,2,4,2,3,3,2,2,2,2,3,3,3,2,2,2,3,3,2,2,2,2,3,2,3,2,2,3,3,2,3,2,3,2,2,3,3,2,2,2,2,2,2,2,3,3,2,2,3,3,2,2,2,3,3,3,2,2,2,2,2,6,8,6,6,6,6,3,6,1,4,6,6,1,3,6,11,1,7,7,6,6,7,6,6,7,5,5,6,5,5,4,3,3,4,4,4,3,3,4,3,3,3,3,3,4,4,3,3,3,3,3,4,3,3,4,4,3,5,7,4,6,4,4,6,7,4,4,4,5,5,6,7,6,5,5,5,4,4,4,5,5,5,4,4,4,2,4,4,5,4,4,4,4,4,4,5,5,4,4,4,4,4,5,4,4,5,4,5,4,4,3,3,3,2,4,2,2,3,3,2,3,3,2,4,3,2,4,5,4,3,2,4,3,4,3,3,4,3,3,2,3,3,2,3,3,3,3,4,2,3,3,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,1,1,31,2,,3,1,3,4,,7,6,5,4,3,5,4,4,4,4,4,TO UNDERSTAND AND LOOKS PEOPLE RELIGIOUS AND SPIRITUAL BEHAVIOUR,TO UNDERSTAND AND LOOKS PEOPLE RELIGIOUS AND SPIRITUAL BEHAVIOUR,2,,2,,2,,3,1,4.883300781,114.9332886,-1
0,2,3,3,2,2,2,3,2,3,3,2,3,3,2,2,3,2,1,2,3,2,3,2,2,3,3,3,2,2,3,3,2,2,3,1,2,3,2,2,3,2,2,3,3,2,1,2,2,3,3,3,3,2,2,2,3,2,2,1,2,8,9,10,6,8,10,9,8,8,8,5,6,6,5,9,11,10,10,11,10,10,10,10,7,5,8,9,9,8,9,4,3,2,4,3,2,4,4,2,3,4,3,3,3,4,3,2,3,4,3,2,3,4,2,3,4,5,7,6,5,6,6,4,6,7,5,4,6,6,5,6,7,7,6,6,5,6,6,4,6,6,5,4,4,7,6,7,5,5,4,5,6,6,5,5,6,4,3,5,2,5,5,4,5,5,5,4,5,2,3,3,4,3,3,4,3,4,3,2,3,4,4,4,4,4,3,3,3,3,4,4,4,3,2,3,4,3,4,4,4,3,3,4,5,2,3,4,3,3,3,4,3,3,4,4,3,4,4,4,5,2,3,3,4,3,3,1,1,22,2,,3,1,3,6,,8,7,6,6,4,6,6,5,6,5,4,Experiment was about religious view,Experiment was about religious view,2,,2,,2,,1,1,9.983306885,76.28329468,-1
0,2,2,2,1,2,3,2,1,2,1,2,3,2,2,2,1,2,1,3,2,2,3,2,2,1,2,2,2,1,2,1,3,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,2,1,2,1,1,2,2,2,2,2,2,2,9,11,6,8,8,8,6,7,8,6,6,8,6,8,6,8,7,9,8,9,6,9,6,4,7,6,8,6,5,5,4,3,3,4,3,4,4,4,4,4,5,4,5,4,4,5,4,4,4,5,4,5,4,4,5,4,5,6,5,5,6,6,6,6,5,7,6,5,6,5,6,5,6,5,6,6,5,6,5,6,6,6,6,5,6,6,6,6,6,4,6,5,6,6,6,5,5,4,4,4,5,6,5,5,6,4,5,4,4,3,4,4,4,3,4,5,4,3,4,3,4,3,3,4,3,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,3,4,4,3,3,4,3,4,3,4,4,4,4,4,4,4,4,4,3,3,5,4,3,3,3,4,1,1,28,2,,3,1,1,4,,7,8,8,5,3,9,6,7,7,6,2,This Survey of the purpose Environments and religion,I was thinking i am a hindu. I was very proud be say hindu religion,2,,2,,2,,1,1,10.99249268,76.96139526,-1
0,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,3,3,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,3,1,8,6,7,6,7,9,7,6,6,7,6,8,8,7,6,11,7,9,10,9,8,9,9,7,7,8,8,9,7,8,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,3,4,4,4,1,2,5,5,4,5,5,5,5,6,4,6,6,4,7,6,5,6,6,5,5,5,5,5,1,6,4,1,5,6,5,6,1,5,6,6,5,4,5,7,5,6,1,5,6,6,6,6,5,6,5,4,4,4,4,4,5,5,4,4,4,4,2,4,4,4,4,4,1,4,5,4,3,4,4,4,4,4,5,4,4,4,2,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,5,4,1,2,35,2,,3,1,2,4,,8,7,8,5,2,7,2,2,2,2,6,behaviour of the people,spiritual beliefs,1,religious thinking,2,,2,,1,1,14.61669922,74.8500061,-1
0,2,4,2,1,4,2,1,2,2,2,3,3,4,3,2,2,3,2,1,2,3,3,3,3,2,2,2,4,3,2,3,2,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,1,1,2,10,11,9,1,10,10,11,10,9,8,9,5,8,9,7,11,10,11,8,10,11,11,11,8,7,9,9,8,9,8,4,5,4,4,3,4,4,3,4,3,4,3,4,3,4,3,4,4,5,5,4,3,4,5,4,4,5,5,6,7,6,5,6,6,7,6,5,6,5,6,6,6,5,5,5,6,6,5,6,6,6,6,6,6,5,6,6,6,6,1,5,3,5,5,4,4,7,6,6,5,4,6,6,5,6,6,4,5,4,3,4,4,3,2,4,3,4,2,4,4,3,4,1,4,3,1,4,5,4,3,4,3,4,3,4,4,5,4,3,3,4,3,4,4,3,4,4,4,1,4,4,3,4,4,3,4,5,3,2,4,4,4,3,4,4,4,1,1,39,2,,3,1,1,4,,9,9,8,6,5,9,5,6,7,7,4,How people's trust with religious.,Very interesting.,2,,2,,2,Give a good education in my child,1,1,13.08329773,80.28329468,-1
0,2,3,2,3,2,2,2,4,1,3,2,4,2,3,3,3,3,4,2,2,3,2,1,2,2,2,3,3,3,4,3,4,2,4,2,2,2,2,3,2,2,2,2,2,3,4,1,4,3,3,2,2,3,2,2,2,2,2,2,2,6,9,3,10,10,8,3,6,1,2,1,10,1,2,4,11,1,9,11,11,2,10,9,8,11,11,11,11,11,11,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,4,4,3,2,6,6,6,6,4,3,6,6,3,6,6,6,6,6,7,6,7,7,5,2,5,6,7,4,2,7,6,4,4,5,4,6,4,5,5,4,5,4,5,7,4,5,3,5,5,5,4,4,4,4,6,4,4,2,4,2,2,3,2,2,2,2,2,3,2,1,4,2,1,3,5,3,5,3,3,5,5,5,5,4,3,2,1,4,4,1,1,5,5,3,5,1,3,4,4,3,5,2,5,1,4,3,3,4,3,3,4,4,4,1,2,52,2,,2,1,2,4,,7,7,7,5,5,7,2,2,2,2,6,To know about the religious sentiments of people,To find out the extent of the influence of religion on humans,2,,2,,2,,1,1,12.98330688,77.58331299,-1
0,2,2,2,1,2,1,1,2,1,2,2,4,2,1,1,2,1,4,1,1,2,4,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,1,1,1,1,1,6,6,6,6,6,1,1,1,1,1,6,6,6,6,6,1,1,1,1,1,5,5,5,5,5,5,1,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,19,4,,3,1,4,4,,5,5,5,5,2,5,2,2,2,2,6,,,1,,2,,1,,1,1,10.80000305,79.1499939,-1
0,2,1,2,3,2,1,2,1,2,1,2,1,1,2,2,1,2,1,1,2,3,2,1,1,2,2,1,3,2,2,1,2,2,1,2,3,1,1,2,3,2,3,2,2,1,2,2,3,3,1,2,3,3,1,2,3,2,1,2,3,7,5,8,6,9,6,5,4,8,6,7,5,8,6,5,7,8,4,6,5,9,10,7,5,7,6,4,8,6,7,4,2,3,4,2,4,3,1,2,3,4,3,2,4,4,4,2,4,1,3,4,3,2,4,5,2,1,5,2,3,4,5,3,6,5,4,2,4,3,5,6,3,1,4,3,2,5,4,1,4,3,6,5,2,3,4,5,2,6,4,2,4,6,3,2,4,4,1,3,1,4,5,3,5,3,2,5,4,3,2,4,1,3,4,2,3,4,2,4,1,3,2,3,4,2,2,5,5,4,2,4,5,4,3,2,3,3,3,2,4,3,3,2,4,2,3,2,3,4,3,2,2,3,4,3,1,3,1,2,3,4,3,1,2,3,4,1,2,24,2,,2,1,2,4,,8,7,7,4,5,8,2,1,2,2,6,Opinions and thoughts and feelings of the people towards different things in the world.,To know the Opinions and thoughts and feelings of the people towards different things in the world.,2,,2,,2,,3,1,17.37530518,78.47439575,-1
0,2,3,3,3,3,1,1,2,2,2,3,2,1,2,1,2,1,1,1,2,2,2,1,3,2,1,2,2,1,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,1,2,2,2,2,1,1,2,1,1,1,2,3,2,4,4,4,4,3,5,3,4,4,5,4,3,4,3,4,4,5,3,4,4,4,4,6,4,4,3,4,4,4,4,2,1,2,2,1,1,4,5,5,4,4,4,4,4,4,5,5,5,5,5,4,5,5,5,4,5,4,3,5,5,7,6,6,6,5,5,5,4,5,3,3,5,6,4,6,6,7,6,5,6,5,7,6,5,6,6,6,6,6,6,6,6,5,6,6,7,5,6,6,4,6,5,4,4,4,5,4,4,4,5,4,4,5,5,5,5,4,5,5,3,5,5,5,3,4,3,3,5,3,5,5,5,5,4,3,3,5,4,4,4,5,5,4,5,4,4,5,5,5,5,4,4,5,5,5,5,4,4,5,5,4,5,4,5,5,4,1,1,25,2,,3,1,1,4,,9,9,8,5,5,9,5,3,5,2,7,Good,Fine,2,,2,,2,,1,1,9.933303833,78.11669922,-1
